"","X","School","State","School.Type","Total.Disbursements","Year"
"8799",3268,"JOHNSON COLLEGE","PA","Private-Nonprofit",904771,1112
"8800",3269,"BUTLER BUSINESS SCHOOL","CT","Proprietary",783551.86,1112
"8801",3270,"PINELLAS TECHNICAL EDUCATION CENTERS - ST. PETERSBURG CAMPUS","FL","Public",1334164.8,1112
"8802",3271,"BRIDGERLAND APPLIED TECHNOLOGY COLLEGE","UT","Public",1057208,1112
"8803",3272,"SANFORD-BROWN COLLEGE","GA","Proprietary",27284815.48,1112
"8804",3273,"PUEBLO COMMUNITY COLLEGE","CO","Public",16735365,1112
"8805",3274,"UPPER VALLEY JOINT VOCATIONAL SCHOOL","OH","Public",317677,1112
"8806",3275,"ART INSTITUTE OF HOUSTON (THE)","TX","Proprietary",13414380.03,1112
"8807",3276,"GREAT OAKS INSTITUTE OF TECHNOLOGY & CAREER DEVELOPMENT","OH","Public",694889.5,1112
"8808",3277,"BECK SCHOOL OF PRACTICAL NURSING","IL","Public",393331,1112
"8809",3278,"NAROPA UNIVERSITY","CO","Private-Nonprofit",924002,1112
"8810",3279,"AVEDA INSTITUTE LAFAYETTE","LA","Proprietary",298190.24,1112
"8811",3280,"LEVITTOWN BEAUTY ACADEMY","PA","Proprietary",204350,1112
"8812",3281,"MISSION COLLEGE","CA","Public",10217301.01,1112
"8813",3282,"COURT REPORTING INSTITUTE OF DALLAS","TX","Proprietary",1024815,1112
"8814",3283,"PENNSYLVANIA ACADEMY OF COSMETOLOGY ARTS & SCIENCES","PA","Proprietary",321526,1112
"8815",3284,"SAN JOAQUIN VALLEY COLLEGE","CA","Proprietary",29271272,1112
"8816",3285,"YORKTOWNE BUSINESS INSTITUTE","PA","Proprietary",751762,1112
"8817",3286,"MIDWEST INSTITUTE","MO","Proprietary",736822,1112
"8818",3287,"NEW ENGLAND HAIR ACADEMY","MA","Proprietary",617776.92,1112
"8819",3288,"AVEDA INSTITUTE","MN","Proprietary",852721,1112
"8820",3289,"ORANGE ULSTER BOCES SCHOOL OF PRACTICAL NURSING","NY","Public",194683,1112
"8821",3290,"UNIVERSITY OF SPA & COSMETOLOGY ARTS","IL","Proprietary",525997.5,1112
"8822",3291,"FRANKLIN TECHNOLOGY CENTER","MO","Public",573833,1112
"8823",3292,"CAREER ACADEMY OF BEAUTY","CA","Proprietary",534876.81,1112
"8824",3293,"MARGARET H. ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER","DE","Private-Nonprofit",54156.38,1112
"8825",3294,"NASHVILLE COLLEGE OF MEDICAL CAREERS","TN","Proprietary",700361.88,1112
"8826",3295,"CIRCLE IN THE SQUARE THEATRE SCHOOL","NY","Private-Nonprofit",73275,1112
"8827",3296,"MICHIGAN COLLEGE OF BEAUTY","MI","Proprietary",988525,1112
"8828",3297,"MADISON ONEIDA BOCES PRACTICAL NURSING PROGRAM","NY","Public",257923,1112
"8829",3298,"ENID BEAUTY COLLEGE","OK","Proprietary",216379.94,1112
"8830",3299,"YTI CAREER INSTITUTE","PA","Proprietary",6661799,1112
"8831",3300,"SOJOURNER-DOUGLASS COLLEGE","MD","Private-Nonprofit",6200770,1112
"8832",3301,"BRIDGES BEAUTY COLLEGE","CA","Proprietary",514283.33,1112
"8833",3302,"INSTITUTE FOR BUSINESS & TECHNOLOGY","CA","Proprietary",3175653.17,1112
"8834",3303,"ART INSTITUTE OF CINCINNATI (THE)","OH","Proprietary",57995,1112
"8835",3304,"CENTRAL SCHOOL OF PRACTICAL NURSING","VA","Public",105313,1112
"8836",3305,"TRIANGLE TECH","PA","Proprietary",922794.09,1112
"8837",3306,"DUCRET SCHOOL OF THE ARTS","NJ","Private-Nonprofit",62662,1112
"8838",3307,"PENNCO TECH","NJ","Proprietary",2820124,1112
"8839",3308,"FORTIS INSTITUTE","NJ","Proprietary",2685900.6,1112
"8840",3309,"NATIONAL CONSERVATORY OF DRAMATIC ARTS","DC","Private-Nonprofit",50625,1112
"8841",3310,"LA' JAMES INTERNATIONAL COLLEGE - DAVENPORT","IA","Proprietary",190762.34,1112
"8842",3311,"OLD TOWN BARBER  COLLEGE","KS","Proprietary",268483,1112
"8843",3312,"WISCONSIN LUTHERAN COLLEGE","WI","Private-Nonprofit",1178302,1112
"8844",3313,"AMERICAN COMMERCIAL COLLEGE","TX","Proprietary",658230,1112
"8845",3314,"ROB ROY ACADEMY","MA","Proprietary",187280.55,1112
"8846",3315,"BLACK HILLS BEAUTY COLLEGE","SD","Proprietary",372463,1112
"8847",3316,"PALO ALTO UNIVERSITY","CA","Private-Nonprofit",299909,1112
"8848",3317,"BOCES RENSSELAER SCHOOL OF PRACTICAL NURSING","NY","Public",213191.8,1112
"8849",3318,"HAWAII INSTITUTE OF HAIR DESIGN","HI","Proprietary",516306.08,1112
"8850",3319,"RIVERSIDE SCHOOL OF HEALTH CAREERS","VA","Private-Nonprofit",472849,1112
"8851",3320,"ST. JOSEPH SCHOOL OF NURSING","NH","Private-Nonprofit",241181,1112
"8852",3321,"CANTON CITY SCHOOLS ADULT CAREER & TECHNICAL EDUCATION","OH","Public",369920,1112
"8853",3322,"MARTIN UNIVERSITY","IN","Private-Nonprofit",3134695.47,1112
"8854",3323,"SAVANNAH COLLEGE OF ART AND DESIGN","GA","Private-Nonprofit",10266730,1112
"8855",3324,"LEX LA RAY TECHNICAL CENTER","MO","Public",115021,1112
"8856",3325,"SALISH KOOTENAI COLLEGE","MT","Public",3695471,1112
"8857",3326,"STERLING COLLEGE","VT","Private-Nonprofit",220750.5,1112
"8858",3327,"SINTE GLESKA UNIVERSITY","SD","Public",1985681,1112
"8859",3328,"TONI & GUY  HAIRDRESSING ACADEMY","PA","Proprietary",323181,1112
"8860",3329,"KILIAN COMMUNITY COLLEGE","SD","Private-Nonprofit",877184.73,1112
"8861",3330,"VET TECH INSTITUTE OF HOUSTON","TX","Proprietary",842285.95,1112
"8862",3331,"DELAWARE TECHNICAL COMMUNITY COLLEGE","DE","Public",8362650.52,1112
"8863",3332,"SCOTT COLLEGE OF COSMETOLOGY","WV","Proprietary",125100,1112
"8864",3333,"CAYUGA ONONDAGA BOCES","NY","Public",156500.2,1112
"8865",3334,"WAYNE - FINGER LAKES BOCES","NY","Public",512847,1112
"8866",3335,"INSTITUTE OF AMERICAN INDIAN & ALASKA NATIVE CULTURE & ARTSDEVELOPMENT","NM","Public",999170,1112
"8867",3336,"SOUTH MOUNTAIN COMMUNITY COLLEGE","AZ","Public",10136241,1112
"8868",3337,"JOE KUBERT SCHOOL OF CARTOON & GRAPHIC ART (THE)","NJ","Proprietary",136125,1112
"8869",3338,"FASHION FOCUS HAIR ACADEMY","FL","Proprietary",216392.82,1112
"8870",3339,"MANHATTAN BEAUTY SCHOOL","FL","Proprietary",2680742,1112
"8871",3340,"CONNECTICUT INSTITUTE OF HAIR DESIGN","CT","Proprietary",223109,1112
"8872",3341,"PAUL MITCHELL THE SCHOOL-JACKSONVILLE","FL","Proprietary",855757.94,1112
"8873",3342,"COSMETOLOGY AND SPA INSTITUTE","IL","Proprietary",511544,1112
"8874",3343,"HANNIBAL CAREER AND TECHNICAL CENTER","MO","Public",118221,1112
"8875",3344,"CENTRAL SUSQUEHANNA LPN CAREER CENTER","PA","Public",270697,1112
"8876",3345,"KEISER UNIVERSITY","FL","Private-Nonprofit",56694037,1112
"8877",3346,"YESHIVA SHAAR HATORAH","NY","Private-Nonprofit",39100,1112
"8878",3347,"PAUL MITCHELL THE SCHOOL NASHVILLE","TN","Proprietary",1605439,1112
"8879",3348,"OAKBRIDGE ACADEMY OF ARTS","PA","Proprietary",218325.55,1112
"8880",3349,"BROOME DELAWARE TIOGA BOCES PROGRAM OF PRACTICAL NURSING","NY","Public",117601,1112
"8881",3350,"DIVERS ACADEMY OF THE EASTERN SEABOARD","NJ","Proprietary",291286.5,1112
"8882",3351,"BEAU MONDE COLLEGE OF HAIR DESIGN","OR","Proprietary",457104.58,1112
"8883",3352,"MISSOURI SCHOOL OF BARBERING & HAIRSTYLING-ST. LOUIS","MO","Proprietary",162746,1112
"8884",3353,"DELTA - MONTROSE TECHNICAL COLLEGE","CO","Public",393100,1112
"8885",3354,"MARGATE SCHOOL OF BEAUTY","FL","Proprietary",222602,1112
"8886",3355,"DAVIS APPLIED TECHNOLOGY COLLEGE","UT","Public",1237820.78,1112
"8887",3356,"FLORIDA CHRISTIAN COLLEGE","FL","Private-Nonprofit",907802.75,1112
"8888",3357,"CONCORDE CAREER COLLEGE","TN","Proprietary",4943580,1112
"8889",3358,"ROCHESTER GENERAL HOSPITAL","NY","Private-Nonprofit",162280.64,1112
"8890",3359,"WASHINGTON SARATOGA WARREN HAMILTON ESSEX BOCES","NY","Public",279022,1112
"8891",3360,"MIFFLIN-JUNIATA CAREER AND TECHNOLOGY CENTER","PA","Public",183885,1112
"8892",3361,"HARRISON COLLEGE","IN","Proprietary",22263346,1112
"8893",3362,"OHIO BUSINESS COLLEGE","OH","Proprietary",5156710,1112
"8894",3363,"MR BELA'S SCHOOL OF COSMETOLOGY","MI","Proprietary",502979.3,1112
"8895",3364,"DON ROBERTS BEAUTY SCHOOL","IN","Proprietary",115724,1112
"8896",3365,"APPALACHIAN BEAUTY SCHOOL","KY","Proprietary",68600,1112
"8897",3366,"BAPTIST COLLEGE OF FLORIDA (THE)","FL","Private-Nonprofit",1347202,1112
"8898",3367,"NEW HOPE CHRISTIAN COLLEGE","OR","Private-Nonprofit",715133,1112
"8899",3368,"COSMETOLOGY CAREERS UNLTD - HIBBING","MN","Proprietary",67398,1112
"8900",3369,"GENEVA GENERAL HOSPITAL","NY","Private-Nonprofit",229937,1112
"8901",3370,"INTERNATIONAL ACADEMY OF DESIGN AND TECHNOLOGY","IL","Proprietary",10326137.48,1112
"8902",3371,"PCI ACADEMY","IA","Proprietary",573396,1112
"8903",3372,"NORTHEASTERN HOSPITAL SCHOOL OF NURSING","PA","Private-Nonprofit",164639,1112
"8904",3373,"MUSICIANS INSTITUTE","CA","Proprietary",2040876.76,1112
"8905",3374,"UNIVERSIDAD CENTRAL DEL CARIBE","PR","Private-Nonprofit",737044.5,1112
"8906",3375,"NEW YORK CAREER INSTITUTE","NY","Proprietary",1727553.55,1112
"8907",3376,"NEW ENGLAND SCHOOL OF PHOTOGRAPHY","MA","Proprietary",102390.54,1112
"8908",3377,"DON ROBERTS SCHOOL OF HAIR DESIGN","IN","Proprietary",172406,1112
"8909",3378,"EDP UNIVERSITY OF PUERTO RICO","PR","Private-Nonprofit",9694931.41,1112
"8910",3379,"SALON PROFESSIONAL ACADEMY (THE)","CO","Proprietary",276338,1112
"8911",3380,"CHILLICOTHE BEAUTY ACADEMY","MO","Proprietary",62375,1112
"8912",3381,"ELAINE P. NUNEZ COMMUNITY COLLEGE","LA","Public",4879023,1112
"8913",3382,"ITI TECHNICAL COLLEGE","LA","Proprietary",1709768,1112
"8914",3383,"INSTITUTO DE BANCA Y COMERCIO","PR","Proprietary",90191202.55,1112
"8915",3384,"KAPLAN COLLEGE","CO","Proprietary",497329,1112
"8916",3385,"ESTES INSTITUTE OF COSMETOLOGY ARTS & SCIENCES","CA","Proprietary",486847,1112
"8917",3386,"TRI COUNTY CAREER CENTER/ADULT CAREER CENTER","OH","Public",381262.75,1112
"8918",3387,"EAST-WEST UNIVERSITY","IL","Private-Nonprofit",2877421,1112
"8919",3388,"DAVIS COLLEGE","NY","Private-Nonprofit",684386.25,1112
"8920",3389,"CLEARFIELD COUNTY CAREER AND TECHNOLOGY CENTER","PA","Public",172975.28,1112
"8921",3390,"ASSABET VALLEY REGIONAL VOCATIONAL SCHOOL","MA","Public",83487,1112
"8922",3391,"SWEDISH INSTITUTE","NY","Proprietary",1101950.28,1112
"8923",3392,"ALBANY SCHOHARIE SCHENECTADY SARATOGA BOCES PRACTICAL NURSING PROGRAM","NY","Public",540711.11,1112
"8924",3393,"INSTITUTO DE EDUCACION TECNICA OCUPACIONAL LA REINE-MANATI","PR","Proprietary",2172352,1112
"8925",3394,"UNITED STATES SPORTS ACADEMY","AL","Private-Nonprofit",318111,1112
"8926",3395,"BRUNSWICK COMMUNITY COLLEGE","NC","Public",2774274.92,1112
"8927",3396,"WESTERN INTERNATIONAL UNIVERSITY","AZ","Proprietary",4257973.95,1112
"8928",3397,"AILEY SCHOOL (THE)","NY","Private-Nonprofit",140330.44,1112
"8929",3398,"HAMILTON - FULTON - MONTGOMERY BOCES","NY","Public",91690.03,1112
"8930",3399,"CONCORDE CAREER INSTITUTE","FL","Proprietary",1739657,1112
"8931",3400,"DUTCHESS BOCES SCHOOL OF PRACTICAL NURSING","NY","Public",310109,1112
"8932",3401,"EMPIRE BEAUTY SCHOOL","NY","Proprietary",6704562.36,1112
"8933",3402,"ULSTER COUNTY BOCES SCHOOL OF PRACTICAL NURSING","NY","Public",352110.66,1112
"8934",3403,"TRIANGLE TECH","PA","Proprietary",1012052.35,1112
"8935",3404,"MICHAEL'S SCHOOL OF HAIR DESIGN & ESTHETICS","NH","Proprietary",302337,1112
"8936",3405,"CENTRA COLLEGE OF NURSING","VA","Private-Nonprofit",342430,1112
"8937",3406,"CHERYL FELL'S SCHOOL OF BUSINESS","NY","Proprietary",262999,1112
"8938",3407,"PIPO ACADEMY OF HAIR DESIGN","TX","Proprietary",179114,1112
"8939",3408,"RIO SALADO COMMUNITY COLLEGE","AZ","Public",31143924.35,1112
"8940",3409,"CHARLESTON SCHOOL OF BEAUTY CULTURE","WV","Proprietary",397354.31,1112
"8941",3410,"EAGLE GATE COLLEGE","UT","Proprietary",4365026,1112
"8942",3411,"JOLIE HEALTH AND BEAUTY ACADEMY","PA","Proprietary",611119,1112
"8943",3412,"EASTERN SUFFOLK BOCES","NY","Public",633289,1112
"8944",3413,"EMPIRE BEAUTY SCHOOL","NH","Proprietary",614407,1112
"8945",3414,"ARGOSY UNIVERSITY","CA","Proprietary",94735316.6,1112
"8946",3415,"NORTHWEST INDIAN COLLEGE","WA","Public",2026204,1112
"8947",3416,"ROSS MEDICAL EDUCATION CENTER","MI","Proprietary",3026297.3,1112
"8948",3417,"METRO BUSINESS COLLEGE","MO","Proprietary",2280382,1112
"8949",3418,"BRIDGES ACADEMY OF BEAUTY","CA","Proprietary",20868,1112
"8950",3419,"ROB ROY ACADEMY","MA","Proprietary",767624.48,1112
"8951",3420,"NEW SCHOOL OF RADIO & TELEVISION","NY","Proprietary",256162.5,1112
"8952",3421,"CAMBRIDGE COLLEGE","MA","Private-Nonprofit",2556819,1112
"8953",3422,"ORLEANS TECHNICAL INSTITUTE","PA","Private-Nonprofit",1495551.32,1112
"8954",3423,"CAPRI INSTITUTE OF HAIR DESIGN","NJ","Proprietary",559830.88,1112
"8955",3424,"PAROBA COLLEGE OF COSMETOLOGY","WA","Proprietary",435236,1112
"8956",3425,"SAND SPRINGS BEAUTY COLLEGE","OK","Proprietary",476936.13,1112
"8957",3426,"ST. AUGUSTINE COLLEGE","IL","Private-Nonprofit",6513257,1112
"8958",3427,"MOLER BARBER COLLEGE","CA","Proprietary",224788.9,1112
"8959",3428,"ASHTABULA COUNTY TECHNICAL AND CAREER CAMPUS","OH","Public",446989.7,1112
"8960",3429,"NORTHWEST TECHNICAL SCHOOL","MO","Public",36225,1112
"8961",3430,"NORTHLAND CAREER CENTER","MO","Public",70680,1112
"8962",3431,"SITTING BULL COLLEGE","ND","Public",1016639,1112
"8963",3432,"SIERRA VALLEY COLLEGE OF COURT REPORTING","CA","Proprietary",627577,1112
"8964",3433,"HOBE SOUND BIBLE COLLEGE","FL","Private-Nonprofit",402066,1112
"8965",3434,"MID-EAST CAREER AND TECHNOLOGY CENTERS - ADULT EDUCATION","OH","Public",645545,1112
"8966",3435,"CENTRO DE ESTUDIOS MULTIDISCIPLINARIOS","PR","Private-Nonprofit",14994365.5,1112
"8967",3436,"EMMA'S BEAUTY ACADEMY","PR","Proprietary",1830935.52,1112
"8968",3437,"SCHILLING - DOUGLAS SCHOOL OF HAIR DESIGN","DE","Proprietary",365824,1112
"8969",3438,"FORTIS COLLEGE","OH","Proprietary",14661155.1,1112
"8970",3439,"TORAH TEMIMAH TALMUDICAL SEMINARY","NY","Private-Nonprofit",375838,1112
"8971",3440,"BUTLER TECHNOLOGY AND CAREER DEVELOPMENT SCHOOLS","OH","Public",680246,1112
"8972",3441,"THOMAS A EDISON STATE COLLEGE","NJ","Public",5018740.58,1112
"8973",3442,"MARICOPA BEAUTY COLLEGE","AZ","Proprietary",224236.2,1112
"8974",3443,"MR. JOHN'S SCHOOL OF COSMETOLOGY, ESTHETICS & NAILS","IL","Proprietary",300881,1112
"8975",3444,"WALNUT HILL COLLEGE","PA","Proprietary",801268,1112
"8976",3445,"MODERN HAIRSTYLING INSTITUTE","PR","Proprietary",2050060.92,1112
"8977",3446,"MODERN HAIRSTYLING INSTITUTE","PR","Proprietary",416047.57,1112
"8978",3447,"LICEO DE ARTE Y TECNOLOGIA","PR","Proprietary",4159465.41,1112
"8979",3448,"MODERN HAIRSTYLING INSTITUTE","PR","Proprietary",2070476.83,1112
"8980",3449,"LAWRENCE COUNTY VOCATIONAL SCHOOL DISTRICT - COLLINS CAREER CENTER","OH","Public",1528992.23,1112
"8981",3450,"HOLLYWOOD COSMETOLOGY CENTER","OK","Proprietary",65335,1112
"8982",3451,"BATON ROUGE SCHOOL OF COMPUTERS","LA","Proprietary",289510,1112
"8983",3452,"WOODROW WILSON REHABILITATION CENTER","VA","Public",124924,1112
"8984",3453,"NORTH BENNET STREET SCHOOL","MA","Private-Nonprofit",138875,1112
"8985",3454,"ORLEANS NIAGARA BOCES","NY","Public",155836.76,1112
"8986",3455,"HERITAGE CHRISTIAN UNIVERSITY","AL","Private-Nonprofit",109896,1112
"8987",3456,"AMERICAN INDIAN COLLEGE OF THE ASSEMBLIES OF GOD","AZ","Private-Nonprofit",307594.25,1112
"8988",3457,"GUTI, THE PREMIER BEAUTY AND WELLNESS ACADEMY","FL","Proprietary",556810,1112
"8989",3458,"AMERICAN COMMERCIAL COLLEGE","TX","Proprietary",357828,1112
"8990",3459,"KAPLAN COLLEGE","IN","Proprietary",2993239,1112
"8991",3460,"PHAGANS' SCHOOL OF HAIR DESIGN","OR","Proprietary",787918,1112
"8992",3461,"STYLEMASTERS COLLEGE OF HAIR DESIGN","WA","Proprietary",456156.86,1112
"8993",3462,"SANFORD-BROWN INSTITUTE","PA","Proprietary",5236559.77,1112
"8994",3463,"PROFESSIONAL COSMETOLOGY EDUCATION CENTER","AR","Proprietary",202585,1112
"8995",3464,"NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CONN","CT","Proprietary",3282058,1112
"8996",3465,"CANNELLA SCHOOL OF HAIR DESIGN","IL","Proprietary",390386,1112
"8997",3466,"OZARK CHRISTIAN COLLEGE","MO","Private-Nonprofit",1003987,1112
"8998",3467,"GENE JUAREZ BEAUTY SCHOOLS","WA","Proprietary",1782540.37,1112
"8999",3468,"NEVADA REGIONAL TECHNICAL CENTER","MO","Public",112789,1112
"9000",3469,"ERIE INSTITUTE OF TECHNOLOGY","PA","Proprietary",983248,1112
"9001",3470,"CHATTANOOGA COLLEGE - MEDICAL, DENTAL AND TECHNICAL CAREERS","TN","Proprietary",1751685.2,1112
"9002",3471,"COLLEGE OF WILMINGTON","NC","Proprietary",333974.9,1112
"9003",3472,"SANFORD-BROWN COLLEGE","MO","Proprietary",6830993.42,1112
"9004",3473,"HUNTER BUSINESS SCHOOL","NY","Proprietary",2941366,1112
"9005",3474,"TONI & GUY HAIRDRESSING ACADEMY","PA","Proprietary",359289,1112
"9006",3475,"STROUDSBURG SCHOOL OF COSMETOLOGY","PA","Proprietary",204471,1112
"9007",3476,"MADERA BEAUTY COLLEGE","CA","Proprietary",237817,1112
"9008",3477,"TAYLORTOWN SCHOOL OF BEAUTY","MI","Proprietary",335985.37,1112
"9009",3478,"FAYETTEVILLE BEAUTY COLLEGE","NC","Proprietary",274853,1112
"9010",3479,"MEDINA COUNTY JOINT VOCATIONAL SCHOOL","OH","Public",135248.1,1112
"9011",3480,"SALON SUCCESS ACADEMY","CA","Proprietary",162871.58,1112
"9012",3481,"PAUL MITCHELL THE SCHOOL PORTSMOUTH","NH","Proprietary",42294,1112
"9013",3482,"CHEEKS INTERNATIONAL ACADEMY OF BEAUTY CULTURE","WY","Proprietary",666967,1112
"9014",3483,"LANCASTER SCHOOL OF COSMETOLOGY & THERAPEUTIC BODYWORK","PA","Proprietary",257773,1112
"9015",3484,"RESURRECTION UNIVERSITY","IL","Private-Nonprofit",408843,1112
"9016",3485,"SALEM COLLEGE OF HAIRSTYLING","MO","Proprietary",194849,1112
"9017",3486,"HALLMARK INSTITUTE OF PHOTOGRAPHY","MA","Proprietary",140100,1112
"9018",3487,"ATI CAREER TRAINING CENTER","FL","Proprietary",1715710.39,1112
"9019",3488,"PIMA MEDICAL INSTITUTE","AZ","Proprietary",30063619.04,1112
"9020",3489,"PORTFOLIO CENTER-","GA","Proprietary",150325.53,1112
"9021",3490,"DOROTHEA HOPFER SCHOOL OF NURSING AT THE MOUNT VERNON HOSPITAL (THE)","NY","Private-Nonprofit",167596.5,1112
"9022",3491,"CARRINGTON COLLEGE","ID","Proprietary",2433218,1112
"9023",3492,"GARNET CAREER CENTER","WV","Public",458901,1112
"9024",3493,"SOUTHWEST SCHOOL OF BUSINESS & TECHNICAL CAREERS","TX","Proprietary",1265575,1112
"9025",3494,"FLORIDA TECHNICAL COLLEGE","FL","Proprietary",12861520.1,1112
"9026",3495,"BROOKLINE COLLEGE","AZ","Proprietary",12528580.21,1112
"9027",3496,"MILDRED ELLEY","NY","Proprietary",8304228,1112
"9028",3497,"OMEGA INSTITUTE","NJ","Proprietary",874894.94,1112
"9029",3498,"COLLEEN O'HARA'S BEAUTY ACADEMY","CA","Proprietary",715216.45,1112
"9030",3499,"CALIFORNIA CULINARY ACADEMY","CA","Proprietary",1570111.96,1112
"9031",3500,"CATHERINE HINDS INSTITUTE OF ESTHETICS","MA","Proprietary",295082.09,1112
"9032",3501,"GOD'S BIBLE SCHOOL AND COLLEGE","OH","Private-Nonprofit",667552.66,1112
"9033",3502,"CAREER & TECHNOLOGY EDUCATION CENTERS OF LICKING COUNTY","OH","Public",371853,1112
"9034",3503,"COSSATOT COMMUNITY COLLEGE OF THE UNIVERSITY OF ARKANSAS","AR","Public",2883445.01,1112
"9035",3504,"MARINELLO SCHOOL OF BEAUTY","CA","Proprietary",2203934,1112
"9036",3505,"FRANCIS TUTTLE TECHNOLOGY CENTER SCHOOL DISTRICT NO. 21","OK","Public",1806162,1112
"9037",3506,"INTERNATIONAL AIR & HOSPITALITY ACADEMY","WA","Proprietary",1731301.75,1112
"9038",3507,"COLLEGE OF SAINT MARY MAGDALEN","NH","Private-Nonprofit",113300,1112
"9039",3508,"ROBERT FIANCE BEAUTY SCHOOLS","NJ","Proprietary",648837.95,1112
"9040",3509,"DRAKE COLLEGE OF BUSINESS","NJ","Proprietary",14730183,1112
"9041",3510,"TRI-STATE COSMETOLOGY INSTITUTE","TX","Proprietary",963537.75,1112
"9042",3511,"EAST LOS ANGELES COLLEGE","CA","Public",40771545.66,1112
"9043",3512,"MITCHELL'S HAIR STYLING ACADEMY","NC","Proprietary",3615,1112
"9044",3513,"MITCHELL'S HAIR STYLING ACADEMY","NC","Proprietary",35205,1112
"9045",3514,"MAC DANIELS BEAUTY SCHOOL","IL","Proprietary",155555,1112
"9046",3515,"LAKE TECHNICAL CENTER","FL","Public",935405.08,1112
"9047",3516,"OGLE SCHOOL HAIR SKIN NAILS","TX","Proprietary",2516900,1112
"9048",3517,"OGLE SCHOOL HAIR SKIN NAILS","TX","Proprietary",598776,1112
"9049",3518,"FREDRICK AND CHARLES BEAUTY COLLEGE","CA","Proprietary",217974.32,1112
"9050",3519,"GEMOLOGICAL INSTITUTE OF AMERICA","CA","Private-Nonprofit",124172,1112
"9051",3520,"UNION COUNTY VOCATIONAL TECHNICAL SCHOOLS","NJ","Public",231367.5,1112
"9052",3521,"CAMERON COLLEGE","LA","Proprietary",1031017,1112
"9053",3522,"KEYSTONE TECHNICAL INSTITUTE","PA","Proprietary",1280287,1112
"9054",3523,"FASHION CAREERS OF CALIFORNIA COLLEGE","CA","Proprietary",238712,1112
"9055",3524,"BOISE BIBLE COLLEGE","ID","Private-Nonprofit",531618.68,1112
"9056",3525,"ATLANTIC BEAUTY & SPA ACADEMY","NJ","Proprietary",468853,1112
"9057",3526,"ANTILLES SCHOOL OF TECHNICAL CAREERS","PR","Proprietary",1435498.73,1112
"9058",3527,"ERIE 2 - CHAUTAUQUA - CATTARAUGUS BOCES","NY","Public",344780,1112
"9059",3528,"ACADEMY OF HAIR DESIGN #4","MS","Proprietary",335927,1112
"9060",3529,"THANH LE COLLEGE, SCHOOL OF COSMETOLOGY","CA","Proprietary",271915,1112
"9061",3530,"CANKDESKA CIKANA (LITTLE HOOP) COMMUNITY COLLEGE","ND","Public",805375.87,1112
"9062",3531,"PROFESSIONAL BEAUTY SCHOOL","WA","Proprietary",148614,1112
"9063",3532,"EVEREST COLLEGE","NV","Proprietary",3496433,1112
"9064",3533,"SPECS HOWARD SCHOOL OF MEDIA ARTS","MI","Proprietary",1724142.02,1112
"9065",3534,"TENNESSEE COLLEGE OF APPLIED TECHNOLOGY-PARIS","TN","Public",1199395.99,1112
"9066",3535,"MINNESOTA SCHOOL OF COSMETOLOGY","MN","Proprietary",790629,1112
"9067",3536,"CENTRAL STATE BEAUTY ACADEMY","OK","Proprietary",619348,1112
"9068",3537,"HAIRSTYLING INSTITUTE OF CHARLOTTE","NC","Proprietary",35484.29,1112
"9069",3538,"CENTRAL TEXAS BEAUTY COLLEGE #2","TX","Proprietary",990713.14,1112
"9070",3539,"ANTHEM COLLEGE","MO","Proprietary",4781670.74,1112
"9071",3540,"PIONEER CAREER AND TECHNOLOGY CENTER:  A VOCATIONAL SCHOOL DISTRICT","OH","Public",74431.16,1112
"9072",3541,"SAN DIEGO CONTINUING EDUCATION","CA","Public",434812,1112
"9073",3542,"PJ'S COLLEGE OF COSMETOLOGY","IN","Proprietary",496986,1112
"9074",3543,"AMERICAN CAREER COLLEGE","CA","Proprietary",14062520.32,1112
"9075",3544,"COMMONWEALTH OF PUERTO RICO DEPARTMENT OF EDUCATION -DEPT OF EDUCATIO","PR","Public",13380876.8,1112
"9076",3545,"HENRICO COUNTY-SAINT MARY'S HOSPITAL SCHOOL OF PRACTICAL NURSING","VA","Public",48933,1112
"9077",3546,"BASTYR UNIVERSITY","WA","Private-Nonprofit",476522,1112
"9078",3547,"BERKELEY CITY COLLEGE","CA","Public",5062092.87,1112
"9079",3548,"UNITED TRIBES TECHNICAL COLLEGE","ND","Private-Nonprofit",2407011,1112
"9080",3549,"ACADEMY OF HAIR DESIGN #1","MS","Proprietary",840629,1112
"9081",3550,"GOODWIN COLLEGE","CT","Private-Nonprofit",7735658,1112
"9082",3551,"HOWELL CHENEY TECHNICAL HIGH SCHOOL","CT","Public",10609,1112
"9083",3552,"KEENE BEAUTY ACADEMY","NH","Proprietary",129521,1112
"9084",3553,"FORTIS COLLEGE","FL","Proprietary",3168989.15,1112
"9085",3554,"WARREN COUNTY CAREER CENTER","OH","Public",657419,1112
"9086",3555,"ROSS MEDICAL EDUCATION CENTER","OH","Proprietary",721470.15,1112
"9087",3556,"NEW ENGLAND SCHOOL OF HAIR DESIGN","NH","Proprietary",130307,1112
"9088",3557,"MILAN INSTITUTE OF COSMETOLOGY","TX","Proprietary",9856656,1112
"9089",3558,"COOPER HEALTH SYSTEM - CENTER FOR ALLIED HEALTH EDUCATION","NJ","Private-Nonprofit",52455,1112
"9090",3559,"DELTA BEAUTY COLLEGE","MS","Proprietary",327633,1112
