"","School","State","School.Type","Total.Disbursements","Year"
"6336","WESTERN STATE COLORADO UNIVERSITY                                     ","CO","PUBLIC",2700405.59,"1213"
"6337","UNIVERSITY OF COLORADO AT COLORADO SPRINGS                            ","CO","PUBLIC",11313477,"1213"
"6338","AIMS COMMUNITY COLLEGE                                                ","CO","PUBLIC",9050525,"1213"
"6339","COLORADO NORTHWESTERN COMMUNITY COLLEGE                               ","CO","PUBLIC",1172116,"1213"
"6340","DELTA - MONTROSE TECHNICAL COLLEGE                                    ","CO","PUBLIC",387141,"1213"
"6341","INTELLITEC COLLEGE                                                    ","CO","PROPRIETARY",2765126,"1213"
"6342","INTELLITEC COLLEGE                                                    ","CO","PROPRIETARY",3123112,"1213"
"6343","EVEREST COLLEGE                                                       ","CO","PROPRIETARY",6214706,"1213"
"6344","METROPOLITAN STATE UNIVERSITY OF DENVER                               ","CO","PUBLIC",34485324.71,"1213"
"6345","NORTHEASTERN JUNIOR COLLEGE                                           ","CO","PUBLIC",2386976,"1213"
"6346","HERITAGE COLLEGE                                                      ","CO","PROPRIETARY",7923384,"1213"
"6347","BOULDER COLLEGE OF MASSAGE THERAPY                                    ","CO","PRIVATE-NONPROFIT",173299,"1213"
"6348","ACADEMY OF NATURAL THERAPY                                            ","CO","PROPRIETARY",186477,"1213"
"6349","COMMUNITY COLLEGE OF DENVER                                           ","CO","PUBLIC",20783078.03,"1213"
"6350","FRONT RANGE COMMUNITY COLLEGE-WESTMINSTER CAMPUS                      ","CO","PUBLIC",27891910.44,"1213"
"6351","UNITED BEAUTY COLLEGE                                                 ","CO","PROPRIETARY",291365,"1213"
"6352","COLLEGEAMERICA DENVER                                                 ","CO","PROPRIETARY",6133457.54,"1213"
"6353","KAPLAN COLLEGE                                                        ","CO","PROPRIETARY",44780,"1213"
"6354","PICKENS TECHNICAL COLLEGE                                             ","CO","PUBLIC",839103.77,"1213"
"6355","MASSAGE THERAPY INSTITUTE OF COLORADO                                 ","CO","PROPRIETARY",136468,"1213"
"6356","TRINIDAD STATE JUNIOR COLLEGE                                         ","CO","PUBLIC",3754779,"1213"
"6357","ROCKY MOUNTAIN MONTESSORI TEACHER TRAINING PROGRAM DBA MECR           ","CO","PRIVATE-NONPROFIT",18575,"1213"
"6358","COLORADO STATE UNIVERSITY                                             ","CO","PUBLIC",22891957,"1213"
"6359","REGIS UNIVERSITY                                                      ","CO","PRIVATE-NONPROFIT",6022480.17,"1213"
"6360","COLORADO STATE UNIVERSITY-PUEBLO                                      ","CO","PUBLIC",9288612.62,"1213"
"6361","INTERNATIONAL SALON AND SPA ACADEMY                                   ","CO","PROPRIETARY",775568.23,"1213"
"6362","SALON PROFESSIONAL ACADEMY (THE)                                      ","CO","PROPRIETARY",242187,"1213"
"6363","SUMMIT BEAUTY SCHOOL                                                  ","CO","PROPRIETARY",81783,"1213"
"6364","NATIONAL BEAUTY COLLEGE                                               ","CO","PROPRIETARY",361536,"1213"
"6365","AMERICAN SENTINEL UNIVERSITY                                          ","CO","PROPRIETARY",606877,"1213"
"6366","ARAPAHOE COMMUNITY COLLEGE                                            ","CO","PUBLIC",10727106.54,"1213"
"6367","COLORADO MOUNTAIN COLLEGE                                             ","CO","PUBLIC",4394433.2,"1213"
"6368","COLLEGE OF INTERNATIONAL ESTHETICS                                    ","CO","PROPRIETARY",175463,"1213"
"6369","TONI&GUY HAIRDRESSING ACADEMY                                         ","CO","PROPRIETARY",479141.41,"1213"
"6370","LAMAR COMMUNITY COLLEGE                                               ","CO","PUBLIC",1314797,"1213"
"6371","ADAMS STATE UNIVERSITY                                                ","CO","PUBLIC",5302833,"1213"
"6372","CONCORDE CAREER COLLEGE                                               ","CO","PROPRIETARY",4645295,"1213"
"6373","INTELLITEC MEDICAL INSTITUTE                                          ","CO","PROPRIETARY",1551735,"1213"
"6374","UNIVERSITY OF NORTHERN COLORADO                                       ","CO","PUBLIC",13687705,"1213"
"6375","NEW DIMENSIONS BEAUTY ACADEMY                                         ","CO","PROPRIETARY",94899,"1213"
"6376","MORGAN COMMUNITY COLLEGE                                              ","CO","PUBLIC",2146132,"1213"
"6377","HOUSATONIC COMMUNITY COLLEGE                                          ","CT","PUBLIC",10216846.58,"1213"
"6378","VINAL TECHNICAL HIGH SCHOOL                                           ","CT","PUBLIC",106248.5,"1213"
"6379","UNIVERSITY OF HARTFORD                                                ","CT","PRIVATE-NONPROFIT",5291586.35,"1213"
"6380","BRANFORD ACADEMY OF HAIR & COSMETOLOGY                                ","CT","PROPRIETARY",134782.05,"1213"
"6381","MANCHESTER COMMUNITY COLLEGE                                          ","CT","PUBLIC",9323297.49,"1213"
"6382","INDUSTRIAL MANAGEMENT & TRAINING INSTITUTE                            ","CT","PROPRIETARY",202110,"1213"
"6383","TONSORIAL ACADEMY OF COSMETOLOGY AND BARBER STYLING                   ","CT","PROPRIETARY",18500,"1213"
"6384","THREE RIVERS COMMUNITY COLLEGE                                        ","CT","PUBLIC",6625627.59,"1213"
"6385","TRINITY COLLEGE                                                       ","CT","PRIVATE-NONPROFIT",1255734,"1213"
"6386","NAUGATUCK VALLEY COMMUNITY COLLEGE                                    ","CT","PUBLIC",9756867.52,"1213"
"6387","SANFORD-BROWN COLLEGE                                                 ","CT","PROPRIETARY",724948.81,"1213"
"6388","UNIVERSITY OF BRIDGEPORT                                              ","CT","PRIVATE-NONPROFIT",5279066,"1213"
"6389","EASTERN CONNECTICUT STATE UNIVERSITY                                  ","CT","PUBLIC",5097949,"1213"
"6390","LINCOLN COLLEGE OF NEW ENGLAND                                        ","CT","PROPRIETARY",3036635,"1213"
"6391","NORTHWESTERN CONNECTICUT COMMUNITY COLLEGE                            ","CT","PUBLIC",1701545.37,"1213"
"6392","WESTERN CONNECTICUT STATE UNIVERSITY                                  ","CT","PUBLIC",6239378.03,"1213"
"6393","SACRED HEART UNIVERSITY                                               ","CT","PRIVATE-NONPROFIT",2994810,"1213"
"6394","MIDDLESEX COMMUNITY COLLEGE                                           ","CT","PUBLIC",3541993.93,"1213"
"6395","RIDLEY - LOWELL BUSINESS & TECHNICAL INSTITUTE                        ","CT","PROPRIETARY",3346784.5,"1213"
"6396","UNIVERSITY OF SAINT JOSEPH                                            ","CT","PRIVATE-NONPROFIT",1720873,"1213"
"6397","PLATT TECHNICAL HIGH SCHOOL                                           ","CT","PUBLIC",100609,"1213"
"6398","WESLEYAN UNIVERSITY                                                   ","CT","PRIVATE-NONPROFIT",2489562,"1213"
"6399","HOWELL CHENEY TECHNICAL HIGH SCHOOL                                   ","CT","PUBLIC",6950,"1213"
"6400","GOODWIN COLLEGE                                                       ","CT","PRIVATE-NONPROFIT",8060412,"1213"
"6401","BRANFORD HALL CAREER INSTITUTE                                        ","CT","PROPRIETARY",11598763.46,"1213"
"6402","OXFORD ACADEMY OF HAIR DESIGN                                         ","CT","PROPRIETARY",341231,"1213"
"6403","CHARTER OAK STATE COLLEGE                                             ","CT","PUBLIC",1470801,"1213"
"6404","ASNUNTUCK COMMUNITY COLLEGE                                           ","CT","PUBLIC",2226445.87,"1213"
"6405","NORTH HAVEN ACADEMY, LLC                                              ","CT","PROPRIETARY",339934.68,"1213"
"6406","PAUL MITCHELL THE SCHOOL DANBURY                                      ","CT","PROPRIETARY",253827.14,"1213"
"6407","LINCOLN TECHNICAL INSTITUTE                                           ","CT","PROPRIETARY",12881385,"1213"
"6408","CONNECTICUT COLLEGE                                                   ","CT","PRIVATE-NONPROFIT",1019216,"1213"
"6409","TUNXIS COMMUNITY COLLEGE                                              ","CT","PUBLIC",5297857.23,"1213"
"6410","LYME ACADEMY COLLEGE OF FINE ARTS                                     ","CT","PRIVATE-NONPROFIT",140238.5,"1213"
"6411","AMERICAN INSTITUTE                                                    ","CT","PROPRIETARY",3038739,"1213"
"6412","CAPITAL COMMUNITY COLLEGE                                             ","CT","PUBLIC",8817597.57,"1213"
"6413","ACADEMY DI CAPELLI                                                    ","CT","PROPRIETARY",256853,"1213"
"6414","BULLARD - HAVENS TECHNICAL HIGH SCHOOL                                ","CT","PUBLIC",72085,"1213"
"6415","ACE COSMETOLOGY & BARBERING TRAINING CENTER                           ","CT","PROPRIETARY",19850,"1213"
"6416","GATEWAY COMMUNITY COLLEGE                                             ","CT","PUBLIC",12384684.29,"1213"
"6417","SOUTHERN CONNECTICUT STATE UNIVERSITY                                 ","CT","PUBLIC",11854273.87,"1213"
"6418","POST UNIVERSITY                                                       ","CT","PROPRIETARY",17546015,"1213"
"6419","HOLY APOSTLES COLLEGE & SEMINARY                                      ","CT","PRIVATE-NONPROFIT",35976,"1213"
"6420","WINDHAM TECHNICAL HIGH SCHOOL                                         ","CT","PUBLIC",35350,"1213"
"6421","INTERNATIONAL INSTITUTE OF COSMETOLOGY                                ","CT","PROPRIETARY",204730,"1213"
"6422","E C GOODWIN TECHNICAL HIGH SCHOOL                                     ","CT","PUBLIC",67350,"1213"
"6423","CONNECTICUT INSTITUTE OF HAIR DESIGN                                  ","CT","PROPRIETARY",183885,"1213"
"6424","MARINELLO SCHOOL OF BEAUTY                                            ","CT","PROPRIETARY",561114.72,"1213"
"6425","MITCHELL COLLEGE                                                      ","CT","PRIVATE-NONPROFIT",1273546,"1213"
"6426","ST VINCENT'S COLLEGE                                                  ","CT","PRIVATE-NONPROFIT",643498.9,"1213"
"6427","CONNECTICUT CENTER FOR MASSAGE THERAPY                                ","CT","PROPRIETARY",572038.5,"1213"
"6428","MARINELLO SCHOOL OF BEAUTY                                            ","CT","PROPRIETARY",788114.23,"1213"
"6429","PORTER AND CHESTER INSTITUTE                                          ","CT","PROPRIETARY",10528153.61,"1213"
"6430","YALE UNIVERSITY                                                       ","CT","PRIVATE-NONPROFIT",2901495.1,"1213"
"6431","PORTER AND CHESTER INSTITUTE OF BRANFORD                              ","CT","PROPRIETARY",1290572,"1213"
"6432","QUINEBAUG VALLEY COMMUNITY COLLEGE                                    ","CT","PUBLIC",3116132.38,"1213"
"6433","NORWICH TECHNICAL HIGH SCHOOL                                         ","CT","PUBLIC",90000,"1213"
"6434","UNIVERSITY OF NEW HAVEN                                               ","CT","PRIVATE-NONPROFIT",4849184,"1213"
"6435","FAIRFIELD UNIVERSITY                                                  ","CT","PRIVATE-NONPROFIT",2415219,"1213"
"6436","ALBERTUS MAGNUS COLLEGE                                               ","CT","PRIVATE-NONPROFIT",2955006,"1213"
"6437","UNIVERSITY OF CONNECTICUT                                             ","CT","PUBLIC",21579722.53,"1213"
"6438","PAIER COLLEGE OF ART                                                  ","CT","PROPRIETARY",218366,"1213"
"6439","MARINELLO SCHOOL OF BEAUTY                                            ","CT","PROPRIETARY",1740022.25,"1213"
"6440","BUTLER BUSINESS SCHOOL                                                ","CT","PROPRIETARY",394064.5,"1213"
"6441","BRIDGEPORT HOSPITAL SCHOOL OF NURSING                                 ","CT","PRIVATE-NONPROFIT",179479,"1213"
"6442","NORWALK COMMUNITY COLLEGE                                             ","CT","PUBLIC",7612442.63,"1213"
"6443","QUINNIPIAC UNIVERSITY                                                 ","CT","PRIVATE-NONPROFIT",3751467,"1213"
"6444","CENTRAL CONNECTICUT STATE UNIVERSITY                                  ","CT","PUBLIC",12862546,"1213"
"6445","ELI WHITNEY TECHNICAL HIGH SCHOOL                                     ","CT","PUBLIC",90011,"1213"
"6446","WINDHAM COMMUNITY MEMORIAL HOSPITAL PROGRAM OF RADIOLOGIC TECHNOLOGY  ","CT","PRIVATE-NONPROFIT",19300,"1213"
"6447","NEW ENGLAND TRACTOR TRAILER TRAINING SCHOOL OF CONN                   ","CT","PROPRIETARY",3411135,"1213"
"6448","EUROPEAN ACADEMY OF COSMETOLOGY AND HAIRDRESSING (THE)                ","CT","PROPRIETARY",75625,"1213"
"6449","LINCOLN TECHNICAL INSTITUTE - HARTFORD                                ","CT","PROPRIETARY",1380876,"1213"
"6450","W F KAYNOR TECHNICAL HIGH SCHOOL                                      ","CT","PUBLIC",87802.65,"1213"
"6451","ALBERT I PRINCE TECHNICAL HIGH SCHOOL                                 ","CT","PUBLIC",220259,"1213"
"6452","LEON INSTITUTE OF HAIR DESIGN                                         ","CT","PROPRIETARY",26825,"1213"
"6453","STONE ACADEMY                                                         ","CT","PROPRIETARY",3442154,"1213"
"6454","CATHOLIC UNIVERSITY OF AMERICA                                        ","DC","PRIVATE-NONPROFIT",1828735,"1213"
"6455","NATIONAL CONSERVATORY OF DRAMATIC ARTS                                ","DC","PRIVATE-NONPROFIT",68911,"1213"
"6456","TECHNICAL LEARNING CENTERS                                            ","DC","PROPRIETARY",1037064.8,"1213"
"6457","POTOMAC COLLEGE                                                       ","DC","PROPRIETARY",993981.52,"1213"
"6458","BENNETT CAREER INSTITUTE                                              ","DC","PROPRIETARY",680208.5,"1213"
"6459","GEORGETOWN UNIVERSITY                                                 ","DC","PRIVATE-NONPROFIT",4156024.58,"1213"
"6460","AMERICAN UNIVERSITY                                                   ","DC","PRIVATE-NONPROFIT",4925249.77,"1213"
"6461","CAREER TECHNICAL INSTITUTE                                            ","DC","PROPRIETARY",2080739.39,"1213"
"6462","HOWARD UNIVERSITY                                                     ","DC","PRIVATE-NONPROFIT",13429490,"1213"
"6463","STRAYER UNIVERSITY                                                    ","DC","PROPRIETARY",89465660.3,"1213"
"6464","GALLAUDET UNIVERSITY                                                  ","DC","PRIVATE-NONPROFIT",2506102.5,"1213"
"6465","TRINITY COLLEGE                                                       ","DC","PRIVATE-NONPROFIT",5366615,"1213"
"6466","GEORGE WASHINGTON UNIVERSITY                                          ","DC","PRIVATE-NONPROFIT",6531067.99,"1213"
"6467","RADIANS COLLEGE                                                       ","DC","PROPRIETARY",424448.08,"1213"
"6468","UNIVERSITY OF THE DISTRICT OF COLUMBIA                                ","DC","PUBLIC",9790191,"1213"
"6469","WILMINGTON UNIVERSITY                                                 ","DE","PRIVATE-NONPROFIT",12528297.41,"1213"
"6470","WESLEY COLLEGE                                                        ","DE","PRIVATE-NONPROFIT",3007054,"1213"
"6471","UNIVERSITY OF DELAWARE                                                ","DE","PUBLIC",8957626,"1213"
"6472","PAUL MITCHELL THE SCHOOL DELAWARE                                     ","DE","PROPRIETARY",463697.22,"1213"
"6473","ACADEMY OF MASSAGE AND BODYWORK                                       ","DE","PROPRIETARY",139386,"1213"
"6474","GOLDEY-BEACOM COLLEGE                                                 ","DE","PRIVATE-NONPROFIT",798143,"1213"
"6475","DELAWARE TECHNICAL COMMUNITY COLLEGE - OWENS CAMPUS                   ","DE","PUBLIC",8186954.62,"1213"
"6476","DAWN CAREER INSTITUTE                                                 ","DE","PROPRIETARY",2518764,"1213"
"6477","MARGARET H. ROLLINS SCHOOL OF NURSING AT BEEBE MEDICAL CENTER         ","DE","PRIVATE-NONPROFIT",111928.96,"1213"
"6478","DELAWARE COLLEGE OF ART AND DESIGN                                    ","DE","PRIVATE-NONPROFIT",446211,"1213"
"6479","DELAWARE TECHNICAL  COMMUNITY COLLEGE                                 ","DE","PUBLIC",8473192.15,"1213"
"6480","DELAWARE LEARNING INSTITUTE OF COSMETOLOGY                            ","DE","PROPRIETARY",235977,"1213"
"6481","HARRIS SCHOOL OF BUSINESS                                             ","DE","PROPRIETARY",1618158.97,"1213"
"6482","DELAWARE STATE UNIVERSITY                                             ","DE","PUBLIC",8912552.86,"1213"
"6483","SCHILLING - DOUGLAS SCHOOL OF HAIR DESIGN                             ","DE","PROPRIETARY",372964,"1213"
"6484","DELAWARE TECHNICAL COMMUNITY COLLEGE                                  ","DE","PUBLIC",5211119.32,"1213"
"6485","MIAMI INTERNATIONAL UNIVERSITY OF ART & DESIGN                        ","FL","PROPRIETARY",9183294.07,"1213"
"6486","MANHATTAN BEAUTY SCHOOL                                               ","FL","PROPRIETARY",2256778.03,"1213"
"6487","JONES COLLEGE                                                         ","FL","PRIVATE-NONPROFIT",1767499,"1213"
"6488","KEISER UNIVERSITY                                                     ","FL","PRIVATE-NONPROFIT",57140022,"1213"
"6489","EUREKA INSTITUTE OF HEALTH AND BEAUTY                                 ","FL","PROPRIETARY",340827,"1213"
"6490","NOUVELLE INSTITUTE                                                    ","FL","PROPRIETARY",1899241.24,"1213"
"6491","UNIVERSITY OF FORT LAUDERDALE                                         ","FL","PRIVATE-NONPROFIT",91035,"1213"
"6492","ARTISTIC NAILS & BEAUTY ACADEMY                                       ","FL","PROPRIETARY",1424910.27,"1213"
"6493","WEBBER INTERNATIONAL UNIVERSITY                                       ","FL","PRIVATE-NONPROFIT",2229023,"1213"
"6494","FLORIDA NATIONAL UNIVERSITY                                           ","FL","PROPRIETARY",9628015.14,"1213"
"6495","CAMBRIDGE INSTITUTE OF ALLIED HEALTH AND TECHNOLOGY                   ","FL","PROPRIETARY",477538.04,"1213"
"6496","FLORIDA BARBER ACADEMY                                                ","FL","PROPRIETARY",1094903,"1213"
"6497","CITY COLLEGE                                                          ","FL","PRIVATE-NONPROFIT",1620359.57,"1213"
"6498","BOCA BEAUTY ACADEMY                                                   ","FL","PROPRIETARY",118282,"1213"
"6499","HI-TECH THE SCHOOL OF COSMETOLOGY                                     ","FL","PROPRIETARY",416921.58,"1213"
"6500","ART INSTITUTE OF FORT LAUDERDALE (THE)                                ","FL","PROPRIETARY",6135267.25,"1213"
"6501","SAINT JOHNS RIVER STATE COLLEGE                                       ","FL","PUBLIC",11003228.07,"1213"
"6502","TALMUDIC COLLEGE OF FLORIDA                                           ","FL","PRIVATE-NONPROFIT",61942,"1213"
"6503","HERITAGE INSTITUTE                                                    ","FL","PROPRIETARY",1030906,"1213"
"6504","STATE COLLEGE OF FLORIDA, MANATEE-SARASOTA                            ","FL","PUBLIC",19713547.87,"1213"
"6505","INSTITUTE OF TECHNICAL ARTS                                           ","FL","PROPRIETARY",838835.75,"1213"
"6506","BENE'S INTERNATIONAL SCHOOL OF BEAUTY                                 ","FL","PROPRIETARY",767450,"1213"
"6507","GULF COAST STATE COLLEGE                                              ","FL","PUBLIC",10455913,"1213"
"6508","BLY'S SCHOOL OF COSMETOLOGY                                           ","FL","PROPRIETARY",8473,"1213"
"6509","FORTIS COLLEGE                                                        ","FL","PROPRIETARY",792824.55,"1213"
"6510","ADVENTIST UNIVERSITY OF HEALTH SCIENCES                               ","FL","PRIVATE-NONPROFIT",2458476,"1213"
"6511","BEAUTY SCHOOLS OF AMERICA                                             ","FL","PROPRIETARY",10734410.31,"1213"
"6512","DAYTONA COLLEGE                                                       ","FL","PROPRIETARY",1489792.55,"1213"
"6513","FUTURE-TECH INSTITUTE                                                 ","FL","PROPRIETARY",459825.81,"1213"
"6514","MIAMI DADE COLLEGE                                                    ","FL","PUBLIC",162067494.62,"1213"
"6515","COMPU-MED VOCATIONAL CAREERS                                          ","FL","PROPRIETARY",1900524.1,"1213"
"6516","WINTER PARK TECH                                                      ","FL","PUBLIC",898874.3,"1213"
"6517","TRENDSETTERS OF FL. SCHOOL OF BEAUTY & BARBERING                      ","FL","PROPRIETARY",172670.21,"1213"
"6518","BEAUTY ACADEMY OF SOUTH FLORIDA                                       ","FL","PROPRIETARY",818999,"1213"
"6519","FASHION FOCUS HAIR ACADEMY                                            ","FL","PROPRIETARY",241522.99,"1213"
"6520","SALON PROFESSIONAL ACADEMY (THE)                                      ","FL","PROPRIETARY",303809.88,"1213"
"6521","HODGES UNIVERSITY                                                     ","FL","PRIVATE-NONPROFIT",10363249.25,"1213"
"6522","FLORIDA GULF COAST UNIVERSITY                                         ","FL","PUBLIC",17750102.28,"1213"
"6523","FLORIDA EDUCATION INSTITUTE                                           ","FL","PROPRIETARY",1106015,"1213"
"6524","KAIZEN BEAUTY ACADEMY                                                 ","FL","PROPRIETARY",30525,"1213"
"6525","NOVA SOUTHEASTERN UNIVERSITY-DAVIE                                    ","FL","PRIVATE-NONPROFIT",11190421.39,"1213"
"6526","EASTERN FLORIDA STATE COLLEGE                                         ","FL","PUBLIC",24558918.67,"1213"
"6527","CHOICE HIGH SCHOOL AND TECHNICAL CENTER                               ","FL","PUBLIC",840658.56,"1213"
"6528","NATIONAL AVIATION ACADEMY                                             ","FL","PROPRIETARY",3067831.89,"1213"
"6529","DAYTONA STATE COLLEGE                                                 ","FL","PUBLIC",30426756.62,"1213"
"6530","FORTIS COLLEGE                                                        ","FL","PROPRIETARY",1256062.04,"1213"
"6531","HERITAGE INSTITUTE                                                    ","FL","PROPRIETARY",2783289,"1213"
"6532","SARASOTA SCHOOL OF MASSAGE THERAPY                                    ","FL","PROPRIETARY",195106.01,"1213"
"6533","FLORIDA MEMORIAL UNIVERSITY                                           ","FL","PRIVATE-NONPROFIT",5943977,"1213"
"6534","SUNSTATE ACADEMY                                                      ","FL","PROPRIETARY",1264701,"1213"
"6535","ACADEMY OF CAREER TRAINING                                            ","FL","PROPRIETARY",627989,"1213"
"6536","EDWARD WATERS COLLEGE                                                 ","FL","PRIVATE-NONPROFIT",3699085,"1213"
"6537","LA BELLE BEAUTY SCHOOL                                                ","FL","PROPRIETARY",1034343.75,"1213"
"6538","NORTH FLORIDA COSMETOLOGY INSTITUTE                                   ","FL","PROPRIETARY",600453,"1213"
"6539","FLORIDA TECHNICAL COLLEGE                                             ","FL","PROPRIETARY",15162386.65,"1213"
"6540","UNIVERSITY OF FLORIDA                                                 ","FL","PUBLIC",46712629.05,"1213"
"6541","FORT PIERCE BEAUTY ACADEMY                                            ","FL","PROPRIETARY",1121144.11,"1213"
"6542","ADVANCE SCIENCE INSTITUTE                                             ","FL","PROPRIETARY",118526.43,"1213"
"6543","FLORIDA KEYS COMMUNITY COLLEGE                                        ","FL","PUBLIC",1455152,"1213"
"6544","UNIVERSAL CAREER SCHOOL                                               ","FL","PROPRIETARY",786338,"1213"
"6545","ENGLISH CENTER (THE)                                                  ","FL","PUBLIC",200135.11,"1213"
"6546","FLORIDA SCHOOL OF TRADITIONAL MIDWIFERY                               ","FL","PRIVATE-NONPROFIT",80227,"1213"
"6547","SHERIDAN TECHNICAL COLLEGE                                            ","FL","PUBLIC",2456452.8,"1213"
"6548","FLORIDA ATLANTIC UNIVERSITY                                           ","FL","PUBLIC",42347087,"1213"
"6549","PROGRESSIVE TRAINING CENTERS                                          ","FL","PROPRIETARY",33100,"1213"
"6550","FLORIDA INSTITUTE OF ULTRASOUND                                       ","FL","PROPRIETARY",128594.75,"1213"
"6551","FLORIDA AGRICULTURAL & MECHANICAL UNIVERSITY                          ","FL","PUBLIC",27325728.02,"1213"
"6552","COLLEGE OF CENTRAL FLORIDA                                            ","FL","PUBLIC",19062932.5,"1213"
"6553","CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY                     ","FL","PROPRIETARY",615795.46,"1213"
"6554","IMMOKALEE TECHNICAL CENTER                                            ","FL","PUBLIC",541046.27,"1213"
"6555","SOUTHERN TECHNICAL COLLEGE                                            ","FL","PROPRIETARY",6426089.45,"1213"
"6556","PALM BEACH ACADEMY OF HEALTH & BEAUTY                                 ","FL","PROPRIETARY",179579,"1213"
"6557","WALTON CAREER DEVELOPMENT CENTER                                      ","FL","PUBLIC",365922.18,"1213"
"6558","LINCOLN TECHNICAL INSTITUTE                                           ","FL","PROPRIETARY",980959,"1213"
"6559","COLLEGE OF BUSINESS & TECHNOLOGY                                      ","FL","PROPRIETARY",4829073.28,"1213"
"6560","FLORIDA INSTITUTE OF TECHNOLOGY                                       ","FL","PRIVATE-NONPROFIT",10717131,"1213"
"6561","SUNSTATE ACADEMY                                                      ","FL","PROPRIETARY",743314.95,"1213"
"6562","AVEDA INSTITUTE - SOUTH FLORIDA                                       ","FL","PROPRIETARY",2023157.62,"1213"
"6563","FLORIDA CAREER COLLEGE                                                ","FL","PROPRIETARY",22143741.75,"1213"
"6564","TAYLOR COLLEGE                                                        ","FL","PROPRIETARY",900019,"1213"
"6565","CHIPOLA COLLEGE                                                       ","FL","PUBLIC",3844000.03,"1213"
"6566","STENOTYPE INSTITUTE OF JACKSONVILLE                                   ","FL","PROPRIETARY",731071.94,"1213"
"6567","SUWANNEE-HAMILTON TECHNICAL CENTER                                    ","FL","PUBLIC",604882.24,"1213"
"6568","ULTRASOUND MEDICAL INSTITUTE                                          ","FL","PROPRIETARY",28675,"1213"
"6569","HENRY W. BREWSTER TECHNICAL CENTER                                    ","FL","PUBLIC",781135.69,"1213"
"6570","LAKE TECHNICAL CENTER                                                 ","FL","PUBLIC",916444.46,"1213"
"6571","EMBRY-RIDDLE AERONAUTICAL UNIVERSITY                                  ","FL","PRIVATE-NONPROFIT",14178074,"1213"
"6572","FLORIDA GATEWAY COLLEGE                                               ","FL","PUBLIC",4896988.88,"1213"
"6573","SAINT THOMAS UNIVERSITY                                               ","FL","PRIVATE-NONPROFIT",2694014,"1213"
"6574","PRAXIS INSTITUTE                                                      ","FL","PROPRIETARY",829624,"1213"
"6575","RINGLING COLLEGE OF ART & DESIGN                                      ","FL","PRIVATE-NONPROFIT",1728377,"1213"
"6576","AEROSIM FLIGHT ACADEMY                                                ","FL","PROPRIETARY",38280,"1213"
"6577","TECHNICAL EDUCATION CENTER OSCEOLA                                    ","FL","PUBLIC",1150470.27,"1213"
"6578","CONCORDE CAREER INSTITUTE                                             ","FL","PROPRIETARY",1870723,"1213"
"6579","AMERICAN MEDICAL ACADEMY                                              ","FL","PROPRIETARY",315988,"1213"
"6580","LA BELLE BEAUTY ACADEMY                                               ","FL","PROPRIETARY",1418336.6,"1213"
"6581","GEORGE STONE AREA VOCATIONAL TECHNICAL CENTER                         ","FL","PUBLIC",1078814.34,"1213"
"6582","WASHINGTON HOLMES TECHNICAL CENTER                                    ","FL","PUBLIC",1066879.77,"1213"
"6583","AMERICAN INSTITUTE                                                    ","FL","PROPRIETARY",877159,"1213"
"6584","GUTI, THE PREMIER BEAUTY AND WELLNESS ACADEMY                         ","FL","PROPRIETARY",501912,"1213"
"6585","FLORIDA INTERNATIONAL UNIVERSITY                                      ","FL","PUBLIC",78043153.32,"1213"
"6586","MANATEE TECHNICAL INSTITUTE                                           ","FL","PUBLIC",2294391.32,"1213"
"6587","SOUTH FLORIDA INSTITUTE OF TECHNOLOGY                                 ","FL","PROPRIETARY",3752221.5,"1213"
"6588","MIAMI AD SCHOOL                                                       ","FL","PROPRIETARY",165517,"1213"
"6589","NEW CONCEPT MASSAGE AND BEAUTY SCHOOL                                 ","FL","PROPRIETARY",417199.87,"1213"
"6590","ROBERT MORGAN EDUCATIONAL CENTER                                      ","FL","PUBLIC",1459658.39,"1213"
"6591","CDA TECHNICAL INSTITUTE                                               ","FL","PROPRIETARY",650141,"1213"
"6592","AMERICAN INSTITUTE OF BEAUTY                                          ","FL","PROPRIETARY",1007390.41,"1213"
"6593","NORTH FLORIDA ACADEMY                                                 ","FL","PROPRIETARY",91923,"1213"
"6594","INTERNATIONAL SCHOOL OF HEALTH, BEAUTY & TECHNOLOGY                   ","FL","PROPRIETARY",837108,"1213"
"6595","AVE MARIA UNIVERSITY                                                  ","FL","PRIVATE-NONPROFIT",2256581,"1213"
"6596","UNIVERSITY OF WEST FLORIDA (THE)                                      ","FL","PUBLIC",16782268,"1213"
"6597","TALLAHASSEE COMMUNITY COLLEGE                                         ","FL","PUBLIC",26919588.43,"1213"
"6598","ST. JOHN VIANNEY COLLEGE SEMINARY                                     ","FL","PRIVATE-NONPROFIT",98350,"1213"
"6599","SANFORD-BROWN INSTITUTE                                               ","FL","PROPRIETARY",5178178.42,"1213"
"6600","SARASOTA COUNTY TECHNICAL INSTITUTE                                   ","FL","PUBLIC",627901.1,"1213"
"6601","ORANGE TECHNICAL EDUCATION CENTERS - ORLANDO TECHNICAL                ","FL","PUBLIC",997021.06,"1213"
"6602","JACKSONVILLE BEAUTY INSTITUTE                                         ","FL","PROPRIETARY",481146,"1213"
"6603","KEY COLLEGE                                                           ","FL","PROPRIETARY",157829.3,"1213"
